KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
UGR;Yugra;Ougra;Jugra;Nadugra;Yugra;Jugra;Yugra;Jugra;Yugra;Yugra;Úgria;Şãğà;Yugra;x
UGR_ADJ;Ugrian;Ougrien;Ugrisch;ugryjsk;Ugra;Ugra;ugor;Ugrijskı;ugor;Oegrische;Úgrico;óãîğñê;ugrilaisten;x
UIL;Illinois;Illinois;Illinois;Illinois;Ilinés;Illinois;Illinois;Illinois;Illinois;Illinois;Illinois;Èëëèíîéñ;Illinois;x
UIL_ADJ;Illinoisian;Illinois;Illinoisianisch;illinojsk;Ilinesa;dell'Illinois;Illinoisian;Illinois;Illinoisian;Illinoisian;Ilinoisano;èëëèíîéññê;Illinoisian;x
UKR;The Ukraine;Ukraine;Ukraine;Ukraina;Ucrania;Ucraina;;;;;Ucrânia;Óêğàèíà;;x
UNB;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebrasca;Íåáğàñêà;Nebraska;x
UNB_ADJ;Nebraskan;Nébraskain;Nebraska-;nebrask;Nebrasqueña;del Nebraska;Nebraskan;Nebraskan;Nebraskan;Nebraska;Nebrascano;íåáğàñêñê;Nebraskasta;x
UND;The Undead Horde;La Horde des Morts-Vivants;Die Horde der Untoten;Horda Nieumar³ych;La Horda de los No-Muertos;L'Orda dei Non Morti;az élohalottak horda;Horda nemrtvıch;az élohalottak horda;de Horde van de Ondoden;A Horda dos Mortos-Vivos;Íåæèâîòíàÿ Îğäà;Horde of the Undead;x
UND_ADJ;Undead;Mort-Vivant;Untot;nieumar³;No-Muerta;Non-Morta;Undead;Undead;Undead;undead;Morto-Vivo;íåæèâîòí;Undead;x
UND_anarcho_liberal;Mammon's Faction;Faction de Mammon;Fraktion von Mammon;Frakcja Mammona;Facción de Mammon;Fazione di Mammona;Mammon Faction;Mamonova frakce;Mammon Faction;Mammon Faction;Partido de Mammon;Ôğàêöèÿ Ìàììîíà;Mammon Faction;x
UND_communist;Belphegor's Faction;Faction de Belphégor;Fraktion von Belphegor;Frakcja Belfegora;Facción de Belfegor;Fazione di Belfagor;Belphegor frakciója;Belphegorova frakce;Belphegor frakciója;Belphegor's Faction;Partido de Belfegor;Ôğàêöèÿ Áåëôåãîğà;Belphegorin fraktio;x
UND_conservative;Abbadon's Faction;Faction d'Abaddon;Fraktion von Abaddon;Frakcja Abaddona;Facción de Abbadon;Fazione di Abaddon;Abbadon frakciója;Abbadonova frakce;Abbadon frakciója;Abbadon's Faction;Partido de Abbadon;Ôğàêöèÿ Àááàäîíà;Abbadonin fraktio;x
UND_fascist;Satan's Faction;Faction de Satan;Fraktion von Satan;Frakcja Szatana;Facción de Satanás;Fazione di Satana;Sátán frakciója;Fráze Satana;Sátán frakciója;Faction of Satan;Partido de Satanás;Ôğàêöèÿ Ñàòàíû;Saatanan fraktio;x
UND_liberal;Beelzebub's Faction;Faction de Belzébuth;Fraktion von Beelzebub;Frakcja Belzebuba;Facción de Belzebub;Fazione di Belzebù;Beelzebub frakciója;Fráze Beelzebuba;Beelzebub frakciója;Faction of Beëlzebub;Partido de Belzebub;Ôğàêöèÿ Âåëüçåâóëà;Beelzebubin fraktio;x
UND_reactionary;Lucifer's Faction;Faction de Lucifer;Fraktion von Luzifer;Frakcja Lucyfera;Facción de Lucifer;Fazione di Lucifero;Lucifer frakciója;Frakce Lucifera;Lucifer frakciója;Faction of Lucifer;Partido de Lucifér;Ôğàêöèÿ Ëşöèôåğà;Luciferin fraktio;x
UND_socialist;Asmodeus' Faction;Faction d'Asmodée;Fraktion von Asmodeus;Frakcja Asmodeusza;Facción de Asmodeo;Fazione di Asmodeo;Asmodeus frakciója;Frakce Asmodeus;Asmodeus frakciója;Faction van Asmodeus;Partido de Asmodeus;Ôğàêöèÿ Àñìîäåóñà;Asmodeuksen fraktio;x
UNM;New Mexico;Nouveau-Mexique;Neu-Mexiko;Nowy Meksyk;Nuevo México;Nuovo Messico;Új-Mexikó;Nové Mexiko;Új-Mexikó;New Mexico;O Novo México;Íîâûé-Ìåêñèêî;Uusi Meksiko;x
UNM_ADJ;New Mexican;Nouveau-Mexicain;Neu-Mexikanisch;nowomeksykañsk;Neomejicana;Neomessicana;Új mexikói;Nové mexické;Új mexikói;Nieuwe Mexicaan;Neomexicano;íîâîìåêñèêàíñê;Uusi Meksikon;x
UNY;New York;Nouvelle-York;Neu-York;Nowy Jork;Nueva York;Nuova York;New York;New York;New York;New York;Nova Iorque;Íüş-Éîğê;New York;x
UNY_ADJ;New Yorker;Nouvelle-Yorkais;Neu-Yorkisch;nowojorsk;Neoyorquina;Newyorkese;New Yorker;Newyorèan;New Yorker;New Yorker;Nova-Iorquino;íîâîéîğêñê;New Yorkilainen;x
UOR;Oregon;Orégon;Oregon;Oregon;Oregón;Oregon;Oregon;Oregon;Oregon;Oregon;O Óregon;Îğåãîí;Oregon;x
UOR_ADJ;Oregonian;Orégonais;Oregon-;oregoñsk;Oregoniana;Oregonese;Oregonian;Oregonian;Oregonian;Oregonian;Oregonês;îğåãîíñê;Oregonian;x
URA;Uralia;Ouralie;Uralien;Uralsk;Los Urales;Uralia;Uralia;Uralie;Uralia;Uralia;Os Urais;Óğàëèÿ;Uralia;x
URA_ADJ;Ural;Oural;Uralisch;uralsk;Uralesa;Uralica;Urál;Ural;Urál;Ural;Ural;óğàëüñê;Ural;x
UYG;Uyghurstan;Ouïghourstan;Uiguristan;Ujguristan;Uiguristán;Uiguristan;Uyghurstan;Uyghurstan;Uyghurstan;Uyghurstan;Uiguristão;Óéãóğèñòàí;Uyghurstan;x
UYG_ADJ;Uyghur;Ouïghour;Uigurisch;ujgursk;Uigur;Uigura;ujgur;Ujghur;ujgur;Uyghur;Uigur;óéãóğñê;uiguuri;x
UZB;Uzbekistan;Ouzbékistan;Usbekistan;Uzbekistan;Uzbekistán;Usbechistan;Üzbegisztán;Uzbekistán;Üzbegisztán;Oezbekistan;Uzbequistão;Óçáåêèñòàí;Uzbekistan;x
UZB_ADJ;Uzbek;Ouzbek;Usbekisch;uzbeck;Uzbeka;Usbeca;üzbég;Uzbekistán;üzbég;Oezbeeks;Uzbeque;óçáåêñê;uzbekki;x
VAN;Vandalia;Vandalia;Vandalia;Wandalowie;Los Vándalos;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Os Vândalos;Âàíäàëüñê;Vandalia;x
VAN_ADJ;Vandalic;vandalique;Vandalisch;wandalsk;Vándala;Vandala;Vandál;vandalskı;Vandál;Vandaal;Vândalo;âàíäàëüñê;Vandaali;x
VAT_bourgeois_dictatorship;The Commonwealth of Rome;La Communauté de Rome;Das Gemeintum von Rom;Wspólnota Rzymska;La Mancomunidad de Roma;Il Commonwealth di Roma;A Római Nemzetközösség;Øímské Spoleèenství;A Római Nemzetközösség;Het Gemenebest van Rome;A Comunidade de Roma;Ñîäğóæåñòâî Ğèìà;Rooman yhteisö;x
VAT_bourgeois_dictatorship_ADJ;Roman;Romain;Römisch;rzymsk;Romana;Romana;Római;Øímskı;Római;Romeins;Romano;ğèìñê;Roomalainen;x
VAT_fascist_dictatorship;The Kingdom of God;Le Royaume de Dieu;Das Königreich Gottes;Królestwo Bo¿e;El Reino de Dios;Il Regno di Dio;Isten Országa;Boí království;Isten Országa;Het koninkrijk van God;O Reino de Deus;Áîãîäàííîå Öàğñòâî;Jumalan valtakunta;x
VAT_fascist_dictatorship_ADJ;Divine;Divin;Göttlich;bosk;Divina;Divina;Isteni;Boskı;Isteni;Goddelijk;Divino;áîãîäàíí;Jumalallinen;x
VAT_proletariat_dictatorship;The People's Republic of Rome;La République Populaire de Rome;Die Volksrepublik Rom;Ludowa Republika Rzymska;La República Popular de Roma;La Repubblica Popolare di Roma;A Római Népköztársaság;Øímská Lidová Republika;A Római Népköztársaság;De Volksrepubliek Rome;A República Popular de Roma;Ğèìñêàÿ Íàğîäíàÿ Ğåñïóáëèêà;Rooman kansantasavalta;x
VAT_proletariat_dictatorship_ADJ;Roman;Romain;Römisch;rzymsk;Romana;Romana;Római;Øímskı;Római;Romeins;Romano;ğèìñê;Roomalainen;x
VGO;Visigothia;Visigothie;Westgoten;Wizygotowie;Los Visigodos;Visigozia;Visigothia;Visigothia;Visigothia;Visigothia;Os Visigodos;Âåñòãîòñê;Visigothia;x
VGO_ADJ;Visigothic;Visigothique;Westgotisch;wizygock;Visigoda;Visigota;vizigót;Visigothic;vizigót;Visigothic;Visigodo;âåñòãîòñê;Visigothic;x
VNT;The Venetics;Vénétique;Die Venetei;Wenetowie;Véneto;Veneticia;Venetika;Venetics;Venetika;Venetica;Os Venéticos;Äğåâíåâåíåòñê;Venetiikka;x
VNT_ADJ;Venetic;Vénétique;Venetisch;wenetyjsk;Venética;Venetica;Velencei;Venetickı;Velencei;Venetic;Venético;äğåâíåâåíåòñê;Venetsia;x
VRM;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Vermont;Âåğìîíò;Vermont;x
VRM_ADJ;Vermontian;Vermontoise;Vermontisch;Vermonta;Vermontesa;Vermontigiana;Vermonti;Vermontian;Vermonti;Vermontiaans;Vermontês;âåğìîíòñê;Vermontilainen;x
VTU;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Âàíóàòó;Vanuatu;x
VTU_ADJ;Vanuatu;Vanuatuais;Vanuatuisch;vanuack;Vanuatuense;di Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatense;âàíóàòñê;Vanuatu;x
WEN;Wenedia;Vénédie;Wenedien;Wenedowie;Venedia;Venedia;Wenedia;Wenedie;Wenedia;Wenedië;Os Venédicos;Âåíåäèÿ;Venedia;x
WEN_ADJ;Venedic;Vénédais;Wenedisch;wenedyjsk;Venédico;Venedica;Wenedyk;Wenedyk;Wenedyk;Wenedisch;Venédico;âåíåäñê;Venedialainen;x
WES;Westphalia;Westphalie;Westfalen;Westfalia;Westfalia;Vestfalia;Vesztfália;Vestfálsko;Vesztfália;Westfalen;Vestfália;Âåñòôàëèÿ;Westfalen;x
WES_ADJ;Westphalian;Westphalien;Westfalisch;westfalsk;de Westfalia;di Vestfalia;vesztfáliai;vestfálskı;vesztfáliai;Westfaalse;Vestfaliano;âåñòôàëüñê;Westfalenin;x
WHA;Wales;Galles;Wales;Walia;Gales;Galles;Wales;Wales;Wales;Wales;Gales;Óıëüñ;Wales;x
WHA_ADJ;Welsh;Gallois;Walisisch;Walii;Galesa;Gallese;walesi;velština;walesi;Wels;Galês;Âàëëèéñê;Walesin;x
WRI;Warri;Ouarri;Warri;Warri;Warri;Warri;Warri;Warri;Warri;Warri;Warri;Âàğğè;Warri;x
WRI_ADJ;Warri;d'Ouarri;Warri-;Warri;de Warri;di Warri;Warri;Warri;Warri;Warri;de Warri;âàğğèéñê;Warri;x
WRS_presidential_dictatorship;Somaliland;Somaliland;Somaliland;Somaliland;Somalilandia;Somaliland;Somaliland;Somaliland;Somaliland;Somaliland;Somalilândia;Ñîìàëèëåíä;Somaliland;x
WRS_presidential_dictatorship_ADJ;Somaliland;Somalilandais;Somalilandisch;somalilandzk;Somalilandesa;del Somaliland;Somaliland;Somaliland;Somaliland;Somaliland;Somalilandês;ñîìàëèëåíäñê;Somaliland;x
WSF;Zapadoslavia;Zapadoslavie;Sapadoslawien;Zachodnios³awia;Zapadoslavia;Zapadoslavia;Zapadoslavia;Zapadoslavie;Zapadoslavia;Zapadoslavia;A Zapadoslávia;Çàïàäíîñëàâèÿ;Zapadoslavia;x
WSF_ADJ;West Slavic;Slave Occidental;Westslawisch;zachodnios³owiañsk;Zapadoslava;Slava Occidentale;Nyugat-szláv;Západoslovanskı;Nyugat-szláv;West Slavic;Zapadoslava;çàïàäíîñëàâÿíñê;West Slavic;x
WSH;Western Sahara;Sahara Occidental;Westsahara;Sahara Zachodnia;Sahara Occidental;Sahara Occidentale;nyugat-Szahara;západní Sahara;nyugat-Szahara;Westelijke Sahara;Saara Ocidental;Çàïàäíàÿ Ñàõàğà;Länsi-Sahara;x
WSH_ADJ;Western Saharan;Sahraoui;Westsaharisch;zachodniosaharyjsk;Saharaui;Sahariana Occidentale;Nyugat-szaharai;Západní saharskı;Nyugat-szaharai;Westelijke Sahara;Saaráui;çàïàäíîñàõàğñê;Länsi-Saharan;x
WSI;The West Indies;Antilles;Die Westindische Inseln;Zachodnie Indie;Las Indias Occidentales;Le Indie Occidentali;Nyugat-India;Západní Indie;Nyugat-India;West Indië;As Índias Ocidentais;Çàïàäíûå Èíäèè;Länsi-Intia;x
WSI_ADJ;West Indian;Antillienne;Westindisch;zachodnioindyjsk;Antillana;Indoccidentale;Nyugat-indiai;Západoindickı;Nyugat-indiai;West-Indisch;Índio Ocidental;çàïàäíîèíäèéñê;Länsi-intialainen;x
XEO;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantio;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperântia;İñïåğàíòèÿ;Esperantujo;x
XEO_ADJ;Esperanto;Esperanto;Esperanto;esperanck;Esperanto;Esperanta;Esperanto;Esperanto;Esperanto;Esperanto;Esperanto;İñïåğàíòñê;Esperanto;x
XEO_anarcho_liberal;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Àíàğêè-Ëèáåğàëà Ïàğòèî;Anarki-Liberala Partio;x
XEO_communist;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Êîìóíèñìà Ïàğòèî;Komunisma Partio;x
XEO_conservative;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Êîíñåğâàòèâà Ïàğòèî;Konservativa Partio;x
XEO_fascist;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Ôàøèñìà Ïàğòèî;Fašisma Partio;x
XEO_liberal;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Ëèáåğàëà Ïàğòèî;Liberala Partio;x
XEO_reactionary;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Ìîíàğêèñìà Ïàğòèî;Monarkisma Partio;x
XEO_socialist;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Ñîöèàëèñìà Ïàğòèî;Socialisma Partio;x
XHO;The Xhosa;Xhosas;Xhosa;Xhosa;Los Xhosa;Xhosa;xhosa;Xhosa;xhosa;Xhosa;Os Cosa;Êîñà;Xhosa;x
XHO_ADJ;Xhosa;Xhosa;Xhosa-;Xhosy;Xhosa;degli Xhosa;xhosa;Xhosa;xhosa;Xhosa;Cosa;êîññê;xhosa;x
XLI;Xliponia;Chliponie;Schliponien;Szliponia;Esliponia;Sliponia;Slipónia;Šliponie;Slipónia;Xliponië;Xlipônia;Øëèïîíèÿ;Ksliponia;x
XLI_ADJ;Xliponian;Chliponien;Schliponisch;szliponijsk;Esliponia;Sliponiana;Slipón;Šliponská;Slipón;Xliponisch;Xliponiano;øëèïîíñê;Ksliponialainen;x
YAK;Sakha;Sakha;Sacha;Jakucja;Sajá;Sacha;Sakha;Sakha;Sakha;Sakha;Sakha;Ñàõà;Sahan;x
YAK_ADJ;Yakut;Yakout;Jakutisch;jakuck;Yacuta;Jacuta;jakut;Yakut;jakut;Jakoet;Iacuto;ÿêóòñê;jakuutti;x
YRK;The Yarkand Khanate;Le Khanat de Yarkand;Yarkant-Khanat;Yarkand Chanat;El Khanato de Yarkand;Khanato di Yarkand;A Yarkand Khanate;Yarkand Khanate;A Yarkand Khanate;de Yarkand Khanate;O Canato de Iarcanda;ßğêàíäñêîå Õàíñòâî;Yarkand Khanate;x
YRK_ADJ;Yarkand;de Yarkand;Yarkant-;Jarkendu;Yarkand;di Yarkand;Yarkand;Yarkand;Yarkand;Yarkand;Iarcandês;ÿğêåíäñê;Yarkand;x
YRK_democracy;The Yarkand Republic;La République de Yarkand;Yarkant-Republik;Republika Yarkandzka;La República de Yarkand;Repubblica di Yarkand;A Yarkand Köztársaság;Yarkand republika;A Yarkand Köztársaság;de Yarkand Republiek;A República de Iarcanda;ßğêåíäñêàÿ Ğåñïóáëèêà;Yarkand tasavalta;x
YRK_proletarian_dictatorship;The Yarkand Proletariate;Le Prolétariat de Yarkand;Yarkant-Proletariat;Proletariat Yarkandzki;El Proletariado de Yarkand;Proletariato di Yarkand;A Yarkand proletariátus;Yarkand Proletariate;A Yarkand proletariátus;de Yarkand proletariaat;O Proletariado de Iarcanda;ßğêåíäñêèé Ïğîëåòàğèàò;Yarkand Proletariate;x
YUA;The Yuan Empire;L'Empire Yuan;Das Yuan-Kaiserreich;Dynastia Yuan;El Gran Yuan;L'Impero Yuan;A Yuan birodalom;Yuan Ríše;A Yuan birodalom;de Yuan-Rijk;O Império Iuã;Èìïåğèÿ Şàíü;Yuan Empire;x
YUA_ADJ;Yuan;Yuan;Yuan-;Yuan;Yuanesa;di Yuan;Yuan;Yuan;Yuan;Yuan;Iuã;Şàíüñê;Yuan;x
YUA_democracy;The Republic of Sino-Mongolia;La République de Sino-Mongolie;Die Republik Sino-Mongolei;Chiñsko-Mongo³ska Republika Ludowa;La República China-Mongola;Repubblica di Sino-Mingolia;A Kínai-Mongólia Köztársaság;Sino-Mongolsko republika;A Kínai-Mongólia Köztársaság;de Republiek Sino-Mongolië;A República da Sino-Mongólia;Êèòàéñêîìîíãîëüñêàÿ Ğåñïóáëèêà;Sino-Mongolia tasavallan;x
YUA_democracy_ADJ;Sino-Mongolian;Sino-Mongol;Sino-Mongolisch;chiñskomongo³sk;Chino-Mongola;Sinomongola;kínai-mongol;sino-mongolskı;kínai-mongol;Chinees-Mongools;Sino-Mongol;êèòàéñêîìîíãîëüñê;kiinalais-mongolaista;x
YUA_fascist_dictatorship;The Khanbaliq Republic;La République de Cambaluc;Die Cambaluc-Republik;Republika Chanbalykska;La República de Janbalic;Repubblica di Cambaluc;a Khanbaliq Köztársaság;Khanbaliq republika;a Khanbaliq Köztársaság;de Cambaluc Republiek;A República de Cambalique;Õàíáàëûêñêàÿ Ğåñïóáëèêà;Khanbaliq tasavalta;x
YUA_fascist_dictatorship_ADJ;Khanbaliq;de Cambaluc;Cambaluc-;chanbalyksk;Cambalú;Cambaluc;Khanbaliq;Khanbaliq;Khanbaliq;Cambaluc;de Cambalique;õàíáàëûêñê;Khambaliq;x
YUA_proletarian_dictatorship;The People's Republic of Sino-Mongolia;La République Populaire de Sino-Mongolie;Die Volksrepublik Sino-Mongolei;Chiñsko-Mongo³ska Republika Ludowa;La República Popular China-Mongola;Repubblica Popolare Sino-Mongola;Népköztársaság Kínai-Mongólia;Sino-Mongolsko lidová republika;Népköztársaság Kínai-Mongólia;de Volksrepubliek Sino-Mongolië;A República Popular da Sino-Mongólia;Íàğîäíàÿ Êèòàéñêîìîíãîëüñêàÿ Ğåñïóáëèêà;People Sino-Mongolia;x
YUA_proletarian_dictatorship_ADJ;Sino-Mongolian;Sino-Mongol;Sino-Mongolisch;chiñskomongo³sk;Chino-Mongola;Sinomongola;kínai-mongol;sino-mongolskı;kínai-mongol;Chinees-Mongools;Sino-Mongol;êèòàéñêîìîíãîëüñê;kiinalais-mongolaista;x
YUC;Yucatán;Yucatán;Jucatan;Jukatan;Yucatán;Yucatán;Yucatán;Yucatán;Yucatán;Yucatán;Iucatã;Şêàòàí;Yucatán;x
YUC_ADJ;Yucateco;Yucatèque;Jucatanisch;jukatañsk;Yucateca;Yucateca;yucateco;Yucateco;yucateco;yucateco;do Iucatã;şêàòåêñê;Yucateco;x
YZW;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;Yonezawa;¨íıäçàâà;Yonezawa;x
YZW_ADJ;Yonezawan;de Yonezawa;Yonezawa-;Yonezawy;de Yonezawa;di Yonezawa;Yonezawan;Yonezawan;Yonezawan;Yonezawan;de Yonezawa;¸íıäçàâñê;Yonezawan;x
ZAM;Zambia;Zambie;Sambia;Zambia;Zambia;Zambia;Zambia;Zambie;Zambia;Zambia;Zâmbia;Çàìáèÿ;Sambia;x
ZAM_ADJ;Zambian;Zambien;Sambisch;zambijsk;Zambiana;Zambiana;zambiai;Zambijskı;zambiai;Zambiaanse;Zambiano;çàìáèéñê;Sambian;x
ZBW;Zimbabwe;Zimbabwe;Simbabwe;Zimbabwe;Zimbabue;Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe;Zimbábue;Çèìáàáâå;Zimbabwe;x
ZBW_ADJ;Zimbabwean;Zimbabwéen;Simbabwisch;zimbabwejsk;Zimbabuense;Zimbabwese;zimbabwei;Zimbabwe;zimbabwei;Zimbabwaanse;Zimbabuano;çèìáàáâèéñê;zimbabwelainen;x
